Conn Time., Send Time, Recv Time,,,,,
0.6653,0.067,2.9965,,,,,
0.5741,0.0459,2.0483,,,,,
0.5548,0.0518,1.4312,,,,,
0.5186,0.0576,1.355,,,,,
0.4415,0.0609,1.4046,,,,,
0.5447,0.063,2.2369,,,,,
0.5132,0.0644,1.9765,,,,,
0.4853,0.0515,2.4014,,,,,
0.508,0.0539,2.282,,,,,
0.5273,0.0587,2.5362,,,,,
0.6473,0.0703,3.0966,,,,,
0.5024,0.0587,1.8973,,,,,
0.5049,0.0509,1.3946,,,,,
0.6387,0.045,1.8627,,,,,
0.5179,0.0555,2.6729,,,,,
0.5035,0.0535,2.1695,,,,,
0.5529,0.0495,2.2103,,,,,
0.4958,0.0592,1.8486,,,,,
0.4788,0.0515,1.6028,,,,,
0.5251,0.061,2.1769,,,,,
0.4247,0.0427,1.5357,,,,,
0.7803,0.0795,1.8677,,,,,
0.5866,0.0475,1.7959,,,,,
0.4377,0.0415,1.4255,,,,,
0.5396,0.0606,2.0043,,,,,
0.6066,0.0588,2.0245,,,,,
0.5454,0.0554,1.8819,,,,,
0.5262,0.0582,2.338,,,,,
0.5692,0.0573,1.9217,,,,,
0.4719,0.061,2.2768,,,,,
0.5095,0.0596,1.8569,,,,,
0.4805,0.0513,1.9719,,,,,
0.4925,0.0422,1.6059,,,,,
0.4851,0.0551,1.5496,,,,,
0.5001,0.0544,1.8202,,,,,
0.5987,0.0616,1.7654,,,,,
0.4707,0.0198,1.8991,,,,,
0.381,0.0177,1.2426,,,,,
0.2971,0.0432,1.0702,,,,,
0.262,0.0348,1.1015,,,,,
0.2797,0.05,1.375,,,,,
0.4754,0.0495,2.2889,,,,,
0.5067,0.0299,2.417,,,,,
0.5041,0.0595,1.7375,,,,,
0.4641,0.0184,1.3681,,,,,
0.4503,0.0175,1.6064,,,,,
0.4817,0.0409,1.9433,,,,,
0.5385,0.0844,2.0443,,,,,
0.4957,0.0264,2.0882,,,,,
0.4299,0.0404,1.6903,,,,,
0.4321,0.0225,1.7717,,,,,
0.4314,0.0233,1.7075,,,,,
0.4886,0.0637,2.2182,,,,,
0.5289,0.0642,1.9858,,,,,
